Unnamed: 0,category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,jazz
6188,Metal,5PCKCffFrcyUvnhxJoPlK2,61,0.498,0.946,2,-4.793,0.0602,0.000121,2.6000000000000002e-05,0.359,0.303,106.275,4,False
6200,Metal,2BwQukxxS2NIWo9Gz4Gilu,39,0.465,0.971,11,-6.44,0.231,0.0007740000000000001,0.0508,0.215,0.113,125.04,4,False
5875,Metal,0tZ3mElWcr74OOhKEiNz1x,73,0.41200000000000003,0.919,5,-7.291,0.184,0.0124,0.0601,0.424,0.568,166.36700000000005,4,False
6268,Metal,4BrTWgS9zMaEVROF9cEY3w,36,0.369,0.9179999999999999,11,-7.227,0.094,6.4e-05,0.619,0.0859,0.18,90.02,4,False
5997,Metal,0OKOFtLqpUPbpg2Zgiwfto,47,0.225,0.9390000000000001,4,-11.81,0.0596,9e-06,0.762,0.384,0.225,113.53299999999999,4,False
5726,Metal,58QYigJeXkHczETjQ2kkeu,58,0.429,0.855,6,-2.947,0.0298,0.00044100000000000004,0.0188,0.209,0.327,175.554,4,False
6253,Metal,4L5r9XNiWJ7cbqcIiNvVes,58,0.5870000000000001,0.99,0,-4.496,0.0783,0.0172,0.000668,0.10400000000000001,0.49,127.992,4,False
5748,Metal,521gC8oqqmUknLZpodHOh9,64,0.521,0.721,2,-7.699,0.0254,0.0034799999999999996,0.0113,0.391,0.605,97.57799999999999,4,False
6043,Metal,43vK0U7EBHDJg2IQhqXkyX,41,0.33799999999999997,0.767,7,-4.601,0.0338,2.5e-05,1e-06,0.17600000000000002,0.298,93.861,4,False
6069,Metal,118y6uwQUrxrhKnVJEAmNC,0,0.29100000000000004,0.758,1,-12.103,0.0556,0.000918,7.000000000000003e-06,0.29100000000000004,0.44799999999999995,80.601,4,False
6013,Metal,3GOm5NMXzqOSmiagu9NXuX,50,0.21100000000000002,0.643,7,-6.5829999999999975,0.0353,4.3e-05,0.748,0.217,0.0817,103.89200000000001,4,False
5606,Metal,3yJMN88DMoyP0pdUCETnuX,36,0.5670000000000001,0.92,1,-4.8069999999999995,0.0672,1.9e-05,0.0296,0.136,0.478,141.018,4,False
6148,Metal,10rw87jtzDOygxyz9AZvAJ,38,0.484,0.934,9,-6.057,0.0781,0.0434,0.695,0.204,0.0598,130.034,4,False
5776,Metal,4G5h1em7bOnodbfm9hNpYt,35,0.41,0.9740000000000001,1,-5.093,0.124,0.00144,0.496,0.298,0.0561,110.016,3,False
5985,Metal,5zSYyWugV0B1x0W5ESFvxh,48,0.44299999999999995,0.943,10,-3.535,0.0524,0.0028399999999999996,0.00969,0.341,0.447,135.028,4,False
5259,Metal,7isniSyP8VgbXWpv5pZYef,42,0.498,0.943,9,-4.551,0.11699999999999999,5e-06,0.266,0.29100000000000004,0.235,122.212,4,False
5959,Metal,3awmQfd4Qx040HeP4GPTeS,28,0.33799999999999997,0.9790000000000001,7,-6.598,0.09699999999999999,9e-06,0.9420000000000001,0.299,0.0312,137.976,4,False
5515,Metal,1LDAh7QQnWvp3GJ9QDa1Pj,11,0.461,0.95,9,-6.189,0.179,0.0638,0.0149,0.21100000000000002,0.535,140.77,4,False
